Datapoints,Predicted,Real-Value
1,0.911627,1
2,0.9305368,0.994527207
3,0.9375545,0.98861386
4,0.9436473,0.988567176
5,0.9466697,0.988234818
6,0.9527279,0.98878217
7,0.9583751,0.988504486
8,0.9634977,0.983446896
9,0.9641084,0.982917435
10,0.9662756,0.982830935
11,0.9656844,0.98283432
12,0.9739817,0.977222854
13,0.9730807,0.97698058
14,0.9696265,0.976812701
15,0.970763,0.970972377
16,0.969233,0.970707843
17,0.9696268,0.97096241
18,0.968749,0.97122571
19,0.9689445,0.97106913
20,0.9698686,0.994903587
21,0.9782522,0.995114371
22,0.9744779,0.989059985
23,0.9695996,0.9834598
24,0.9674042,0.983100463
25,0.9681376,0.983352477
26,0.9682612,0.977130848
27,0.9640189,0.977528409
28,0.9635757,0.977097592
29,0.9650091,0.971062688
30,0.9637333,0.971769062
31,0.9919986,0.997476488
32,0.9973851,0.986111635
33,0.9931887,0.980294339
34,0.9835318,0.974586708
35,0.9834448,0.972056091
36,0.9876453,0.969237413
37,0.9810271,0.963347887
38,0.9768039,0.96037443
39,0.9698314,0.955047525
40,0.9712162,0.9550497
41,0.9762413,0.952267218
42,0.9782661,0.949273909
43,0.9650826,0.952129959
44,0.9736946,0.949464209
45,0.9628648,0.943572505
46,0.9589404,0.938250152
47,0.9548722,0.935148459
48,0.9944954,0.966138523
49,1.002931,0.960517697
50,0.9868955,0.951993635
51,0.9774189,0.946420517
52,0.9699926,0.940954729
53,0.9669938,0.938178859
54,0.9689502,0.935326836
55,0.9621254,0.929886033
56,0.9566175,0.924222012
57,0.9524576,0.921381601
58,0.9521776,0.918947514
59,0.9560098,0.915875329
60,0.9495007,0.912788226
61,0.9453941,0.907575721
62,0.9396161,0.901958257
63,0.9379421,0.902009477
64,0.9390175,0.89616356
65,0.9388198,0.893630547
66,0.9294737,0.890851206
67,0.9228534,0.884818159
68,0.9183464,0.882234819
69,0.9172594,0.879475413
70,0.9152025,0.87679177
71,0.9101157,0.873760558
72,0.9070967,0.867943215
73,0.9030624,0.865377875
74,0.898699,0.862658268
75,0.8954272,0.856655
76,0.8904182,0.854187849
77,0.8889447,0.85373219
78,0.9031128,0.859432912
79,0.881487,0.848230996
80,0.8708215,0.842937031
81,0.8688573,0.840170491
82,0.8721601,0.840017309
83,0.8747051,0.837435975
84,0.8680897,0.834303584
85,0.8609951,0.828573672
86,0.8498054,0.823013526
87,0.8500694,0.823342645
88,0.8550009,0.820176484
89,0.8525288,0.817396324
90,0.9365245,0.864976989
91,0.8923831,0.842369912
92,0.8810945,0.833882044
93,0.870952,0.825416615
94,0.8608348,0.822495649
95,0.8553695,0.817111543
96,0.8510381,0.814386125
97,0.8482449,0.811513118
98,0.8445759,0.808809872
99,0.8401535,0.803045789
100,0.8368784,0.800365447
101,0.8325053,0.79742726
102,0.8290198,0.794624068
103,0.82637,0.800384415
104,0.8576193,0.805872323
105,0.8385087,0.797635674
106,0.8317884,0.791685583
107,0.8079106,0.783146285
108,0.8151447,0.783278244
109,0.8182047,0.783750935
110,0.8151313,0.780528943
111,0.8076953,0.774942464
112,0.8004428,0.772127738
113,0.8019017,0.772101052
114,0.8024988,0.769229491
115,0.7967776,0.766458368
116,0.7896775,0.763500478
117,0.7820621,0.760796552
118,0.7845211,0.760887888
119,0.7888448,0.758205177
120,0.7973746,0.772098982
121,0.8229673,0.774718429
122,0.7972677,0.763460448
123,0.7848106,0.757872985
124,0.7776159,0.754760718
125,0.7726404,0.752335194
126,0.7678776,0.749417838
127,0.7617419,0.746694404
128,0.755563,0.743574484
129,0.7531258,0.740773355
130,0.7450957,0.738228973
131,0.74585,0.738226686
132,0.7410927,0.735117026
133,0.7515964,0.74085717
134,0.7809988,0.746631245
135,0.7611553,0.737871956
136,0.7471406,0.735142495
137,0.7374835,0.729507796
138,0.7413381,0.729679979
139,0.7429804,0.729713493
140,0.735605,0.726810741
141,0.7258003,0.724049718
142,0.7178588,0.721249907
143,0.7220582,0.721208508
144,0.7219236,0.718564888
145,0.7113418,0.715676506
146,0.7023404,0.712728179
147,0.6982534,0.710033984
148,0.7041958,0.710194117
149,0.7031329,0.710100712
150,0.6808006,0.713106056
151,0.7513247,0.732631776
152,0.7276301,0.721540406
153,0.7170877,0.71588347
154,0.7112308,0.712999244
155,0.7039605,0.710284315
156,0.6990181,0.707505538
157,0.6984612,0.707358449
158,0.6931422,0.704446462
159,0.6882472,0.701880823
160,0.6882678,0.702055582
161,0.6874314,0.702083962
162,0.6855215,0.699109009
163,0.681515,0.699209427
164,0.6809001,0.696726301
165,0.6778762,0.693785144
166,0.6770413,0.693488417
167,0.7011889,0.705103277
168,0.7449613,0.713756158
